"title"	"year"	"length"	"budget"	"rating"	"votes"	"r1"	"r2"	"r3"	"r4"	"r5"	"r6"	"r7"	"r8"	"r9"	"r10"	"mpaa"	"Action"	"Animation"	"Comedy"	"Drama"	"Documentary"	"Romance"	"Short"
"Kelly Loves Tony"	1998	60	NA	7.5	6	0	0	14.5	0	0	0	0	45.5	34.5	0	""	0	0	0	0	1	0	0
"Enfants, Les"	2005	88	NA	6.1	19	0	4.5	0	4.5	4.5	34.5	34.5	0	14.5	4.5	""	0	0	1	0	0	0	0
"Nightmare Circus"	1974	86	NA	3.2	43	24.5	14.5	14.5	4.5	4.5	4.5	4.5	4.5	0	24.5	""	0	0	0	0	0	0	0
"Dallas 362"	2003	100	NA	6.4	46	4.5	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	34.5	"R"	0	0	0	1	0	0	0
"House Hunting Mice"	1948	7	NA	7.6	35	0	0	0	4.5	0	4.5	44.5	24.5	4.5	14.5	""	0	1	1	0	0	0	1
"Golden Earrings"	1947	95	1000000	6.4	120	0	4.5	0	4.5	14.5	14.5	24.5	14.5	14.5	14.5	""	0	0	0	0	0	1	0
"Swan Princess, The"	1994	90	NA	5.7	355	4.5	4.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	14.5	""	0	1	1	0	0	1	0
"Rainbow Avenger, The"	1998	12	NA	2	5	44.5	0	0	24.5	44.5	0	0	0	0	0	""	0	0	1	0	0	0	1
"Relativity"	2001	10	NA	5.3	5	0	0	0	44.5	0	24.5	44.5	0	0	0	""	0	0	0	0	0	0	1
"No More Monkeys Jumpin' on the Bed"	2000	76	NA	4.1	18	0	0	24.5	24.5	14.5	4.5	4.5	4.5	14.5	14.5	""	0	0	0	1	0	0	0
"Joy et Joan"	1985	94	NA	5.2	28	4.5	0	4.5	14.5	4.5	14.5	14.5	14.5	4.5	24.5	""	0	0	0	1	0	0	0
"Channelling Baby"	1999	92	NA	4.4	25	14.5	4.5	4.5	14.5	4.5	14.5	14.5	14.5	4.5	14.5	""	0	0	0	0	0	0	0
"Amputee, The"	1974	9	NA	6.3	268	4.5	4.5	4.5	4.5	14.5	24.5	14.5	14.5	4.5	14.5	""	0	0	0	1	0	0	1
"Young Tom Edison"	1940	86	NA	6.8	138	0	4.5	0	4.5	4.5	14.5	34.5	24.5	4.5	4.5	""	0	0	0	1	0	0	0
"Paap"	2003	120	NA	5.4	18	14.5	0	4.5	4.5	14.5	14.5	24.5	14.5	4.5	4.5	""	1	0	0	0	0	1	0
"Bring on the Night"	1985	97	NA	6.5	152	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	14.5	24.5	""	0	0	0	0	1	0	0
"In contextus"	1976	28	NA	5.4	6	0	0	0	14.5	0	34.5	34.5	14.5	0	0	""	0	0	0	0	0	0	1
"Przedwiosnie"	2001	140	NA	5.1	44	4.5	14.5	4.5	4.5	14.5	14.5	24.5	4.5	4.5	4.5	""	0	0	0	0	0	0	0
"Bullet in the Brain"	2001	14	NA	8.4	50	0	0	4.5	0	4.5	4.5	14.5	24.5	14.5	44.5	""	0	0	0	0	0	0	1
"Match King, The"	1932	79	165000	6.6	37	0	0	4.5	4.5	4.5	24.5	24.5	14.5	14.5	14.5	""	0	0	0	1	0	0	0
"Dhoktor Zi-Vengos"	1968	76	NA	7.6	28	4.5	0	0	0	0	4.5	4.5	14.5	24.5	45.5	""	0	0	1	0	0	0	0
"Survive Style 5+"	2004	120	NA	7.9	173	4.5	4.5	4.5	4.5	4.5	4.5	4.5	24.5	24.5	34.5	""	0	0	1	1	0	0	0
"Deadly Love"	1992	5	NA	9	6	0	0	0	0	0	0	0	34.5	34.5	34.5	""	0	0	0	0	0	0	1
"Reapers, The"	2004	4	NA	8.6	12	0	0	0	0	4.5	0	0	14.5	24.5	45.5	""	0	0	1	0	0	0	1
"Coming to America"	1988	116	28000000	6.6	13103	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	4.5	""	0	0	1	0	0	1	0
