subscriber,bought,income,area,simple_id1,simple_id3
A001,1,13985,Rural,500,15736
A002,0,8298,CBD,503,19058
A003,1,14694,Rural,509,10730
A004,0,2427,Suburb,511,14381
A005,1,12246,Suburb,515,15518
A006,1,17727,Suburb,515,10768
A007,1,11307,Rural,515,13915
A008,1,13378,Rural,515,13190
A009,1,17325,CBD,516,12464
A010,0,18764,Urban,519,15020
A011,1,4464,Urban,522,11828
A012,1,15637,Urban,524,13595
A013,1,8351,Suburb,525,17135
A014,1,8805,Urban,529,14177
A015,1,17230,CBD,530,11795
A016,0,7751,Suburb,530,14338
A017,1,12527,Suburb,536,13846
A018,1,33213,Urban,538,15770
A019,0,16154,CBD,540,10532
A020,1,20064,CBD,544,17744
A021,0,14714,CBD,546,14210
A022,0,1417,Rural,548,13109
A023,1,13155,Suburb,549,18949
A024,0,7283,Urban,550,12447
A025,0,9997,Rural,550,12477
A026,1,14606,Rural,552,11156
A027,0,10148,Suburb,556,18149
A028,0,11600,CBD,557,10269
A029,1,13067,Urban,561,13782
A030,1,21444,Urban,565,12410
A031,0,12332,Urban,566,16252
A032,0,3144,Urban,569,17082
A033,1,13257,Rural,572,13267
A034,1,24067,CBD,573,11761
A035,0,14052,CBD,573,13482
A036,0,22213,Rural,584,17769
A037,0,10420,Urban,588,16294
A038,0,13684,CBD,595,12387
A039,0,8444,Suburb,598,18492
A040,1,17571,Rural,600,18838
